year,host,team_code,team_name,team_rating,team_legends,squad_section,shirt_number,player_name,position,rating,legend,source_url
1950,Brazil,bra,Brazil,80,4,Goalkeepers,,Barbosa,Goalkeeper,89,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Goalkeepers,,Castilho,Goalkeeper,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Augusto,Right-back,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Nena,Centre-back,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Juvenal,Left-back,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Nílton Santos,Left-back,84,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Bauer,Defensive midfielder,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Ely,Defensive midfielder,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Noronha,Defensive midfielder,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Bigode,Right midfielder,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Danilo,Midfielder,86,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Rui,Midfielder,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Jair,Attacking midfielder,85,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Zizinho,Attacking midfielder,91,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Friaça,Right winger,79,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Maneca,Right winger,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Ademir,Centre-forward,93,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Adãozinho,Centre-forward,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Alfredo,Centre-forward,73,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Baltazar,Centre-forward,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Rodrigues,Centre-forward,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Chico,Left winger,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,chi,Chile,75,3,Goalkeepers,,Livingstone,Goalkeeper,82,true,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Goalkeepers,,Quitral,Goalkeeper,72,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,Machuca,Right-back,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,Farías,Centre-back,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,Flores,Centre-back,73,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,M. Álvarez,Centre-back,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,Roldán,Left-back,73,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,Campos,Defensive midfielder,75,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,Urroz,Defensive midfielder,73,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,Busquets,Right midfielder,77,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,C. Rojas,Right midfielder,73,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,Carvallo,Midfielder,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Midfield,,Sáez,Attacking midfielder,73,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Ibáñez,Right winger,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Prieto,Right winger,72,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Cremaschi,Centre-forward,80,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Infante,Centre-forward,75,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,M. Muñoz,Centre-forward,77,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Riera,Centre-forward,79,true,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Robledo,Centre-forward,84,true,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,G. Díaz,Left winger,71,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Attack,,Mayanés,Left winger,74,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,eng,England,81,4,Goalkeepers,,B. Williams,Goalkeeper,83,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Goalkeepers,,Ditchburn,Goalkeeper,78,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Ramsey,Right-back,82,true,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Scott,Right-back,77,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Hughes,Centre-back,76,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Taylor,Centre-back,75,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Aston,Left-back,78,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Defence,,Eckersley,Left-back,74,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Cockburn,Defensive midfielder,79,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Dickinson,Defensive midfielder,80,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Nicholson,Defensive midfielder,76,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Watson,Defensive midfielder,76,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Wright,Defensive midfielder,88,true,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Baily,Midfielder,76,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Midfield,,Mannion,Midfielder,85,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Finney,Right winger,92,true,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Matthews,Right winger,94,true,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Bentley,Centre-forward,80,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Milburn,Centre-forward,84,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Mortensen,Centre-forward,85,false,https://7a0.com.br/en/copas/1950/eng
1950,Brazil,eng,England,81,4,Attack,,Mullen,Left winger,78,false,https://7a0.com.br/en/copas/1950/eng
