year,host,team_code,team_name,team_rating,team_legends,squad_section,shirt_number,player_name,position,rating,legend,source_url
1950,Brazil,bra,Brazil,80,4,Goalkeepers,,Moacyr Barbosa,Goalkeeper,89,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Goalkeepers,,Carlos Castilho,Goalkeeper,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Augusto,Right-back,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Nena,Centre-back,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Juvenal,Left-back,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Defence,,Nílton Santos,Left-back,84,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Bauer,Defensive midfielder,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Ely,Defensive midfielder,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Noronha,Defensive midfielder,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Bigode,Right midfielder,78,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Danilo,Midfielder,86,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Rui,Midfielder,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Jair,Attacking midfielder,85,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Midfield,,Zizinho,Attacking midfielder,91,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Friaça,Right winger,79,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Maneca,Right winger,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Ademir,Centre-forward,93,true,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Adãozinho,Centre-forward,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Alfredo,Centre-forward,73,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Baltazar,Centre-forward,76,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Francisco Rodrigues,Centre-forward,74,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,bra,Brazil,80,4,Attack,,Chico,Left winger,80,false,https://7a0.com.br/en/copas/1950/bra
1950,Brazil,chi,Chile,75,3,Goalkeepers,,Sergio Livingstone,Goalkeeper,82,true,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Goalkeepers,,René Quitral,Goalkeeper,72,false,https://7a0.com.br/en/copas/1950/chi
1950,Brazil,chi,Chile,75,3,Defence,,Manuel Machuca,Right-back,74,false,https://7a0.com.br/en/copas/1950/chi
